model_pattern,api_provider,priority,enabled,min_batch_size,max_batch_size,initial_batch_size,weight,rate_limit_factor,success_threshold,failure_threshold,input_cost_per_million_tokens,output_cost_per_million_tokens,notes
# TIER 2 OPTIMIZED: Claude 4 Opus (450k input TPM, 90k output TPM, WEB SEARCH OPTIMIZED)
claude-4-opus*,anthropic,1,true,50,200,100,1.5,0.5,5,2,15.00,75.00,Tier 2: Opus 4.x - Most expensive but highest capability
claude-opus-4*,anthropic,1,true,50,200,100,1.5,0.5,5,2,15.00,75.00,Tier 2: Opus 4.x - Most expensive but highest capability (alternate naming)
# TIER 2 OPTIMIZED: Claude 4 Sonnet (450k input TPM, 90k output TPM, WEB SEARCH OPTIMIZED)  
claude-4*,anthropic,2,true,50,200,100,1.5,0.5,5,2,3.00,15.00,Tier 2: Sonnet 4 - Balanced performance and cost
claude-sonnet-4*,anthropic,2,true,50,200,100,1.5,0.5,5,2,3.00,15.00,Tier 2: Sonnet 4 - Balanced performance and cost
claude-4-sonnet*,anthropic,2,true,50,200,100,1.5,0.5,5,2,3.00,15.00,Tier 2: Sonnet 4 - Balanced performance and cost (alternate naming)

# TIER 2 OPTIMIZED: Claude 3.7 (40k input TPM - TOKEN CONSTRAINED)
claude-3.7*,anthropic,2,true,15,50,30,1.0,0.6,5,2,3.00,15.00,Tier 2: Sonnet 3.7 - Limited by 40k input TPM
claude-sonnet-3.7*,anthropic,2,true,15,50,30,1.0,0.6,5,2,3.00,15.00,Tier 2: Sonnet 3.7 - Limited by 40k input TPM

# TIER 2 OPTIMIZED: Claude 3.5 models (80k input TPM, 16k output TPM)
claude-3.5*,anthropic,3,true,30,80,60,1.3,0.6,5,2,3.00,15.00,Tier 2: Claude 3.5 family - Moderate token limits

# TIER 2 OPTIMIZED: Claude Haiku 3.5 (100k input TPM, 20k output TPM - OUTPUT TOKEN CONSTRAINED)
claude-haiku-3.5*,anthropic,4,true,15,40,25,1.2,0.7,5,2,0.80,4.00,Tier 2: Haiku 3.5 - Fastest and most cost-effective
claude-3.5-haiku*,anthropic,4,true,15,40,25,1.2,0.7,5,2,0.80,4.00,Tier 2: Haiku 3.5 - Fastest and most cost-effective

# TIER 2 OPTIMIZED: Claude 3 Opus (40k input TPM - TOKEN CONSTRAINED)
claude-3-opus*,anthropic,5,true,15,50,30,1.0,0.7,5,2,15.00,75.00,Tier 2: Opus 3 - Limited by 40k input TPM

# TIER 2 OPTIMIZED: Claude 3 Haiku (100k input TPM, 20k output TPM - OUTPUT TOKEN CONSTRAINED)
claude-3-haiku*,anthropic,6,true,15,40,25,1.0,0.8,4,2,0.80,4.00,Tier 2: Haiku 3 - Fast and cost-effective

# TIER 2 OPTIMIZED: Claude 3 Sonnet (legacy pattern)
claude-3-sonnet*,anthropic,7,true,30,80,60,1.0,0.75,5,2,3.00,15.00,Tier 2: Sonnet 3 - Standard model

# Generic Claude fallback
claude-*,anthropic,10,true,20,80,40,0.8,0.8,5,2,3.00,15.00,Tier 2: Fallback for other Claude models

# TIER 3 OPTIMIZED: Perplexity sonar-deep-research (40 RPM - SEVERELY CONSTRAINED + $5/1000 searches)
sonar-deep-research*,perplexity,1,true,3,10,5,0.8,0.5,3,2,2.00,8.00,Tier 3: Deep research - 40 RPM + $5/1000 searches

# TIER 3 OPTIMIZED: High-performance Perplexity models (1000 RPM)
sonar-reasoning-pro*,perplexity,2,true,40,100,80,1.4,0.7,5,2,2.00,8.00,Tier 3: Reasoning Pro - Good balance for reasoning
sonar-pro*,perplexity,3,true,40,100,80,1.3,0.75,5,2,3.00,15.00,Tier 3: Sonar Pro - Comparable to Claude Sonnet

# TIER 3 OPTIMIZED: Standard Perplexity models (1000 RPM)  
sonar*,perplexity,4,true,50,120,100,1.2,0.75,5,2,1.00,1.00,Tier 3: Base Sonar - Most economical option

# Legacy Perplexity patterns (for backward compatibility)
llama-3.1-sonar-large*,perplexity,6,true,25,70,50,1.2,0.75,5,2,1.00,1.00,Tier 3: Legacy large sonar pattern
llama-3.1-sonar-small*,perplexity,7,true,25,70,50,1.1,0.75,5,2,1.00,1.00,Tier 3: Legacy small sonar pattern
llama-*,perplexity,8,true,20,60,40,1.0,0.8,5,2,1.00,1.00,Tier 3: Generic Llama models
*sonar*,perplexity,9,true,20,60,40,1.1,0.75,5,2,1.00,1.00,Tier 3: Fallback sonar pattern

# Default fallback (lowest priority)
*,unknown,999,true,10,30,20,1.0,0.9,3,2,5.00,10.00,Default configuration for unmatched models