Product Name,Developer,Target,Indication,Therapeutic Radionuclide,Diagnostic Radionuclide,Modality Type,Development Stage,Key Trial ID,Projected Launch,FDA-EMA Designation,Strategic Partners,Recent News
[^64Cu]RTX?1363S (FAP?PET tracer),Ratio?Therapeutics / Lantheus,FAP,"Epithelial-derived cancers (including pancreatic, breast, colorectal), sarcoma, gastrointestinal malignancies; also being evaluated for myocardial fibrosis",-,Cu-64,Diagnostic small molecule,Phase 1/2a,NCI-2025-01031,2027-28,-,"Lantheus, PharmaLogic","- 3/12/2024: Ratio announces expansion of manufacturing agreement with PharmaLogic for FAP-targeted radiopharmaceuticals; Phase I trial ongoing for [Cu-64]-labeled LNTH-1363S (formerly RTX-1363S) in healthy volunteers; $50M Series B financing secured to advance clinical development (High Confidence)
- 7/11/2023: First patient dosed in Phase I study evaluating novel FAP-targeted radiopharmaceutical for PET imaging; collaboration with Lantheus and PharmaLogic (High Confidence)
- 7/19/2023: Ratio highlights first patient treated in FAPI PET trial; study to guide further development of [Cu-64]-labeled RTX-1363S as FAP-targeted tumor imaging agent (High Confidence)"
FAP?? 225Ac Radiotherapeutic,Ratio?Therapeutics,FAP,Soft tissue sarcoma,Ac-225,Cu-64,"Theranostic radioligand (peptide or antibody, exact class not specified)",Pre-clinical,-,2027-28,-,-,"- 2024-03-12: Ratio Therapeutics announces an expansion of its manufacturing agreement with PharmaLogic for FAP-targeted radiopharmaceuticals and plans to advance its lead FAP-targeted therapeutic candidate into clinical trials in late 2024.
- 2022-06-10: Ratio Therapeutics launches with a focus on developing targeted radiopharmaceuticals, including the use of Actinium-225 and the Macropa chelate platform."
SSTR2?targeted Radiotherapeutic,Ratio?Therapeutics / Novartis,SSTR2,SSTR2-expressing neuroendocrine tumors (NETs),-,-,Therapeutic radioligand,Pre-clinical,-,2027-28,-,Novartis Pharma AG,"- 2024-11-18: Ratio Therapeutics enters license and collaboration agreement with Novartis for SSTR2-targeting radiotherapeutic candidate; Ratio to receive up to $745M in combined upfront and potential milestone payments, plus tiered royalties; Ratio to drive preclinical activities, Novartis to handle remaining development, manufacturing, and commercialization (High Confidence)
- 2025-05-08: Ratio Therapeutics advancing development of its first FAP-targeted radiotherapeutic (not SSTR2-targeted), with plans to enter clinical trials this year (Low Confidence for SSTR2-targeted product, as this news is not directly about SSTR2-targeted candidate)"
Granzyme?B PET Tracer,Ratio?Therapeutics (licensed from?Merck),Granzyme?B,"Advanced solid tumors (malignant, untreated), monitoring tumor responses to immunotherapy",-,"Not specified (likely PET radionuclide, e.g., F-18, Ga-68, Zr-89, but not explicitly stated in public sources)","Diagnostic PET imaging agent (small molecule or peptide, not specified)",Phase 1,NCT06916442,2027-28,-,"Merck (licensor), Lantheus (competing product partner)","- 5/29/2025: Granzyme B PET imaging study published in JNM demonstrates ability to predict response to immunotherapy in breast cancer, highlighting obesity-induced differences in immune response (High Confidence)
- 4/8/2025: CytoSite Bio announces agreement with Lantheus for Granzyme B targeted PET imaging radiotracer for immunotherapy assessment (High Confidence)
- 3/31/2025: Clinical trial launched by Zhongnan Hospital for Granzyme B-targeted PET imaging to monitor tumor responses to immunotherapy in advanced solid tumors (High Confidence)"
FAP?2286,Novartis?(AAA),FAP,Advanced solid tumors (FAP-positive),Lu-177,Ga-68,Theranostic peptide,Phase 1/2,NCT04939610,2027-28,-,"3B Pharmaceuticals, Clovis Oncology (historical)","- 2025-05-02: Novartis updates clinical trial protocol for 177Lu-FAP-2286 in advanced solid tumors, detailing dosing schedule and monitoring for Phase 1/2 study (NCT04939610) (High Confidence)
- 2024-11-05: New Phase 2 trial (FAUNUS) for 177Lu-FAP-2286 in urothelial neoplasms announced by Ankara University; not yet recruiting (High Confidence)
- 2024-09-27: Preclinical validation and dosimetry studies for 177Lu-FAP-2286 presented at EANM 2024, highlighting tumor uptake and kidney protection strategies (High Confidence)
- 2024-09-27: Case report in Clin Nucl Med shows radiological remission in squamous lung cancer patient treated with 177Lu-FAP-2286 (High Confidence)"
225Ac?PSMA?617?(“AAA817”),Novartis?(Endocyte),PSMA,PSMA-positive prostate cancer (including patients with and without prior exposure to 177Lu-PSMA-617 or 177Lu-PSMA I&T),Ac-225,-,Therapeutic radioligand,Phase 1,NCT04597411,2027-28,-,-,"- 2025-03-12: Novartis continues to advance actinium-based PSMA therapies, with ongoing Phase 1 studies for 225Ac-PSMA-617 and related compounds; Pluvicto (177Lu-PSMA-617) is not yet approved in the pre-chemo setting, but an FDA decision is expected in the first half of 2025 based on the PSMAfore trial (High Confidence)
- Ongoing: Phase 1, open-label, international, dose escalation study (NCT04597411) for 225Ac-PSMA-617 in men with PSMA-positive prostate cancer, with or without prior exposure to 177Lu-PSMA-617 or 177Lu-PSMA I&T; study participation is approximately 18-24 months per participant, with total study duration from first patient in to last long-term follow-up of about 48 months (High Confidence)"
177Lu?PNT2002,POINT?Biopharma?/?Eli?Lilly,PSMA,"Metastatic castration-resistant prostate cancer (mCRPC), PSMA-positive; Recurrent or metastatic adenoid cystic carcinoma (Phase II)",Lu-177,-,Therapeutic radioligand,Phase 3,NCT04647526,2027-28,"Fast Track (FDA, 2023)","Lantheus, Eli Lilly","- 5/7/2025: Lantheus calls time on 'me-too' Pluvicto; any remaining hope for PNT2002 rests with Lilly, which acquired Point Biopharma for $1.4bn in October 2023. Lantheus is working with Lilly to review the full SPLASH dataset; Lilly may buy back rights to the full data and pursue approval, but this seems unlikely (High Confidence)
- 2/10/2025: Phase II clinical trials in adenoid cystic carcinoma (recurrent, metastatic disease) in the USA initiated (NCT06322576) (High Confidence)
- 1/13/2025: Lantheus Medical Imaging, in collaboration with POINT Biopharma, suspends an expanded access trial for prostate cancer (NCT06033001) (High Confidence)
- 9/13/2024: Updated efficacy and adverse events data from Phase III SPLASH clinical trials in prostate cancer presented at the 49th Annual Congress of the European Society for Medical Oncology (ESMO-2024) (High Confidence)
- 4/25/2023: FDA grants fast track designation to 177Lu-PNT2002 for the treatment of mCRPC (High Confidence)"
67Cu?SAR?bisPSMA,Clarity?Pharmaceuticals,PSMA,PSMA-positive metastatic castration-resistant prostate cancer (mCRPC) after prior androgen receptor pathway inhibition (ARPI),Cu-67,-,Therapeutic radioligand,Phase 2,NCT04868604,2027-28,"Fast Track (FDA, 2025)",-,"- 4/15/2025: First patient treated in Phase II Cohort Expansion of SECuRE trial with improved 67Cu-SAR-bisPSMA formulation; preliminary data showed 92% of pre-chemotherapy participants had PSA drops >35%, 61.5% >50%, and 46.2% >80% (High Confidence)
- 2/19/2025: US FDA grants Fast Track Designation for 67Cu-SAR-bisPSMA for PSMA-positive mCRPC after prior ARPI (High Confidence)"
RYZ?101?(225Ac?DOTATATE),Bristol?Myers?Squibb?(RayzeBio),SSTR2,"Advanced, well-differentiated SSTR2+ gastroenteropancreatic neuroendocrine tumors (GEP-NETs) progressing after 177Lu-SSA therapy; ER+, HER2-negative, SSTR-expressing unresectable or metastatic breast cancer",Ac-225,-,Therapeutic radioligand (peptide),Phase 3,NCT05477576,2027-28,-,Bristol Myers Squibb,"- 5/28/2025: Ongoing and enrolling patients in the USA for RYZ101 (225Ac-DOTATATE) in patients with estrogen receptor-positive, HER2-negative, SSTR-expressing unresectable or metastatic breast cancer (High Confidence)
- 1/27/2025: Phase 1b portion of ACTION-1 trial (NCT05477576) for RYZ101 in advanced, well-differentiated SSTR+ GEP-NETs progressing after 177Lu-SSA therapy reports RYZ101 was well tolerated, with a fixed dose of 10.2 MBq declared the recommended phase 3 dose; initial data suggest promising efficacy and manageable safety (High Confidence)
- 5/31/2023: First patient dosed in Phase 3 ACTION-1 trial of RYZ101 in SSTR+ GEP-NETs progressing after prior Lutetium-177 labelled somatostatin analogue therapy; global study expected to enroll 210 patients (High Confidence)"
TLX250?CDx?(89Zr?girentuximab),Telix?Pharmaceuticals,CAIX,"Clear-cell RCC (ccRCC), specifically targeting CAIX-positive tumors",-,Zr-89,Diagnostic monoclonal antibody (mAb),BLA filed,NCT03849118,2025,"Priority Review (FDA, 2025)",-,"- 2/26/2025: FDA accepts BLA for TLX250-CDx (Zircaix®) for kidney cancer imaging, grants Priority Review, and sets PDUFA date of 27 August 2025 (High Confidence)
- 12/30/2024: Telix files BLA for TLX250-CDx (Zircaix®) for kidney cancer imaging (High Confidence)"
TLX250?(177Lu?girentuximab),Telix?Pharmaceuticals,CAIX,Advanced clear cell renal cell carcinoma (ccRCC) with CAIX expression,Lu-177,I-124,Theranostic monoclonal antibody,Phase 2,NCT05239533,2027-28,"Priority Review (FDA, 2025) for TLX250-CDx",-,"- 5/30/2025: Telix highlights ProstACT Global, CUPID and STARLITE therapy studies in prostate and kidney cancer at ASCO Annual Meeting 2025 (High Confidence)
- 3/23/2025: Phase 2 STARLITE 2 trial (NCT05239533) assessing 177Lu-girentuximab plus nivolumab in advanced clear cell renal cell carcinoma presented at ASCO GU Cancers Symposium (High Confidence)
- 2/28/2025: FDA grants priority review to TLX250-CDx for clear cell renal cell carcinoma imaging, with PDUFA date of August 27, 2025 (High Confidence)"
225Ac?PNT2001,POINT?Biopharma?/?Eli?Lilly,PSMA,"Prostate cancer (second-line therapy or greater, metastatic disease, inoperable/unresectable, PSMA-positive)",Ac-225,-,Therapeutic radioligand,Phase 1/2,NCT06229366,2027-28,-,Eli Lilly and Company,"- 5/2/2024: Phase-I clinical trials in Prostate cancer (Second-line therapy or greater, Metastatic disease, Inoperable/Unresectable) in Canada (IV, Injection) (NCT06229366) (High Confidence)
- 12/27/2023: POINT Biopharma has been acquired by Eli Lilly and Company (High Confidence)
- 8/14/2023: POINT Biopharma plans a phase I/II trial for Prostate cancer in USA, first quarter of 2024 (High Confidence)"
TLX591?(177Lu?rosopatamab),Telix?Pharmaceuticals,PSMA,PSMA-positive metastatic castration-resistant prostate cancer (mCRPC),Lu-177,-,Therapeutic radiolabeled antibody (rADC),Phase 3,NCT04876651,2027-28,-,-,"- 5/30/2025: Telix presents ProstACT Global Phase 3 study of TLX591 (177Lu-rosopatamab) at ASCO Annual Meeting 2025 (High Confidence)
- 2/25/2025: Recruitment spotlight for Phase 3 clinical trial of TLX591 active in Miami (High Confidence)
- 2/18/2025: ProstACT GLOBAL Phase 3 study abstract published at ASCO Genitourinary Cancers Symposium (High Confidence)"
BAY?3563254?(225Ac?PSMA),Bayer,PSMA,Advanced metastatic castration-resistant prostate cancer (mCRPC) with PSMA expression,Ac-225,-,Therapeutic radioligand (small molecule),Phase 1,NCT06217822,2027-28,-,-,"- 5/15/2024: Bayer initiates dosing in Phase I first-in-human clinical study with 225Ac-PSMA-Trillium (BAY 3563254) for advanced metastatic castration-resistant prostate cancer (mCRPC) (High Confidence)
- 4/8/2025: Phase 1 open-label, first-in-human, multi-center study to evaluate safety, tolerability, pharmacokinetics, and antitumor activity of 225Ac-PSMA-Trillium (BAY 3563254) in mCRPC (High Confidence)
- 4/6/2025: Researchers seek better treatment for mCRPC with 225Ac-PSMA-Trillium (BAY 3563254) (High Confidence)"
FPI?2265?(225Ac?PSMA),AstraZeneca?(Fusion),PSMA,PSMA-positive metastatic castration-resistant prostate cancer (mCRPC),Ac-225,-,Therapeutic radioligand,Phase 2/3,NCT06402331,2027-28,-,Fusion Pharmaceuticals,"- 2025-04-29: AstraZeneca publishes Q1 2025 clinical trials appendix, detailing ongoing Phase 2/3 trial for FPI-2265 in mCRPC (High Confidence)
- 2025-01-19: FPI-2265 reported as in Phase III for mCRPC by GlobalData (High Confidence)
- 2024-07-26: Data from P2/3 AlphaBreak trial (NCT06402331) for mCRPC expected post-2025 (High Confidence)
- 2024-03-19: AstraZeneca announces acquisition of Fusion Pharmaceuticals to accelerate FPI-2265 development (High Confidence)
- 2024-01-04: Fusion Pharmaceuticals aligns with FDA on Phase 2/3 protocol for FPI-2265; Phase 2 dose optimization lead-in expected to complete enrollment by end of 2024, Phase 3 registrational trial to begin in 2025 (High Confidence)"
AZD2068?(225Ac?EGFR/cMET),AstraZeneca,EGFR?/?cMET,Solid tumours (EGFR/cMET expressing),Ac-225,-,Therapeutic radioconjugate,Phase 1,-,2028-2030,-,-,"- 4/29/2025: No new public updates on AZD2068 (225Ac-EGFR/cMET) in AstraZeneca’s Q1 2025 clinical trials appendix; last detailed update was in Q3 2024 (Medium Confidence)
- 11/12/2024: AZD2068 (FPI-2068, EGFR cMET bispecific mAb) listed as a radioconjugate in Phase I for advanced solid tumours (NCT06147037) (High Confidence)"
64/67Cu?SAR?Bombesin,Clarity?Pharmaceuticals,GRPR,"GRPR-expressing metastatic castration-resistant prostate cancer (mCRPC), breast cancer (ER/PR+ HER2- with metastatic disease), and other GRPR-expressing cancers (pancreas, lung)",Cu-67,Cu-64,Theranostic peptide,Phase 1/2,NCT05633160,2027-28,-,-,"- 6/5/2025: Clarity receives US FDA Fast Track Designation for 67Cu-SAR-bisPSMA (not SAR-Bombesin), but no new SAR-Bombesin news reported (High Confidence)
- 10/4/2023: First patient dosed in Phase 1/2 trial (COMBAT, NCT05633160) evaluating 64Cu/67Cu SAR-Bombesin for diagnosis and treatment of mCRPC (High Confidence)
- 2023: Clarity Pharmaceuticals reports no issues observed in initial dosing of SAR-Bombesin (High Confidence)"
64/67Cu?SARTATE,Clarity?Pharmaceuticals,SSTR2,Neuroendocrine tumors (NETs) with known or suspected SSTR2 expression,Cu-67,Cu-64,Theranostic peptide,"Phase 3 (planned for diagnostic, Phase 2 completed for diagnostic)",NCT04438304,2027-28,-,-,"- 2025-06-04: Topline results from diagnostic Phase II DISCO trial (NCT04438304) confirm 64Cu-SARTATE is safe and highly effective compared to standard-of-care imaging in NETs; lesion-level sensitivity 93.4%–95.6% for 64Cu-SARTATE vs. 4.4%–6.6% for 68Ga-DOTATATE; no serious treatment-emergent AEs; Clarity to commence registrational Phase III study with FDA guidance (High Confidence)
- 2025-05-29: First patient imaged in Phase III AMPLIFY trial (note: AMPLIFY is for 64Cu-SAR-bisPSMA, not SARTATE, but included for context as it is a related Clarity product; not directly relevant to SARTATE) (Medium Confidence)
- 2024-02-19: Clarity receives US FDA Fast Track Designation for 67Cu-SAR-bisPSMA (note: not SARTATE, but included for context as it is a related Clarity product; not directly relevant to SARTATE) (Medium Confidence)"
Iomab?B?(131I?apamistamab),Actinium?Pharmaceuticals,CD45,Relapsed or refractory acute myeloid leukemia (AML) in patients eligible for bone marrow transplant (BMT),I-131,-,Therapeutic radiolabeled monoclonal antibody,Phase 3,NCT02665065,After 2030,-,Immedica,"- 2024-10-25: Data from the Phase 3 SIERRA trial of Iomab-B presented at the 2024 European Association of Nuclear Medicine (EANM) Congress (High Confidence)
- 2024-08-06: FDA determined data from the phase 3 SIERRA Trial are not adequate to support a BLA filing for 131I-apamistamab (Iomab-B) in relapsed or refractory AML; FDA advises developer to attain overall survival benefit in a randomized head-to-head trial (High Confidence)
- 2024-09-19: 131I-apamistamab–led regimen associated with higher dCR rate than conventional care in older patients with RR AML in the SIERRA trial (High Confidence)"
Actimab?A?(225Ac?lintuzumab),Actinium?Pharmaceuticals,CD33,"Acute myeloid leukemia (AML), frontline and relapsed/refractory, CD33-positive",Ac-225,-,Therapeutic monoclonal antibody (mAb),Phase 2/3,NCT06802523,2027-28,-,"National Cancer Institute (NCI), AbbVie/Roche (Venetoclax), Taiho Oncology (ASTX-727)","- 4/28/2025: Actimab-A is being advanced into a pivotal Phase 2/3 trial in combination with CLAG-M chemotherapy in patients with relapsed or refractory AML (High Confidence)
- 3/17/2025: First clinical trial under CRADA with NCI initiated, evaluating Actimab-A in triplet combination with Venetoclax and ASTX-727 for frontline AML; initial clinical data expected by year-end 2025 (High Confidence)
- 3/19/2025: Actinium Pharmaceuticals to host investor KOL call with Dr. Ehab Atallah, providing pipeline update and highlighting expanded market opportunities for Actimab-A and Iomab-ACT; clinical data expected in 2H:2025 (High Confidence)"
HER2?Nano?mAb?(99mTc/188Re),Radiopharm?Theranostics,HER2,HER2-positive breast cancer,Re-188,Tc-99m,Theranostic single domain antibody,Early Phase 1,NCT04674722,2027-28,-,-,"- 6/4/2025: First patient dosed in Phase 1 'HEAT' clinical trial of 177Lu-RAD202 (HER2-targeting nanobody) for advanced HER2-positive solid tumors (High Confidence)
- 3/17/2025: New RAD202 data confirms positive tumor uptake and favorable biodistribution in humans (High Confidence)"
MC?339,Novartis?(Mariana?Oncology),DLL3,"DLL3-expressing solid tumors, including small cell lung cancer",Ac-225,-,Therapeutic radioligand (peptide),Pre-clinical,-,2027-28,-,-,"- 2024-07-19: Preclinical characterization of MC339 presented at ESMO 2024; studies support further investigation as a treatment for patients with DLL3-expressing solid tumors (High Confidence)
- 2024-09-08: MC339 highlighted as a novel radiopharmaceutical targeting DLL3-expressing cancers at EORTC-NCI-AACR 2024; further investigation supported (High Confidence)
- 2024-05-02: Novartis announces agreement to acquire Mariana Oncology, bolstering RLT pipeline with MC-339, an actinium-based RLT for small cell lung cancer (High Confidence)"
AlphaMedix?(212Pb?DOTAMTATE),Orano?Med?/?RadioMedix,SSTR2,Unresectable or metastatic SSTR+ gastroenteropancreatic neuroendocrine tumors (GEP-NETs),Pb-212,-,Therapeutic radioligand (peptide),Phase 2,NCT05153772,2026-2027,"Breakthrough Therapy (FDA, 2024)","Orano Med LLC (collaborator), Radiomedix, Inc. (sponsor)","- 2024-11-23: Phase 2 ALPHAMEDIX-02 results presented at NANETS 2024; 212Pb-DOTAMTATE demonstrated activity and was considered well tolerated in PRRT-naďve patients with SSTR+ GEP-NETs (High Confidence)
- 2024-05-29: Phase II ALPHAMEDIX 02 study results (Cohort 1) presented at ASCO 2024; safety, tolerability, and efficacy of 212Pb-DOTAMTATE in PRRT-naďve and PRRT-refractory GEP-NETs (High Confidence)
- 2024-03-18: FDA grants breakthrough therapy designation to AlphaMedix (212Pb-DOTAMTATE) for advanced gastroenteropancreatic neuroendocrine tumors (High Confidence)
- 2024-02-12: FDA breakthrough therapy designation for AlphaMedix in select patients with GEP-NETs (High Confidence)"
OX?235?(225Ac?HER2 mAb),Aktis?Oncology,HER2,HER2-expressing solid tumors (specific tumor types not specified in available sources),Ac-225,-,Therapeutic monoclonal antibody (mAb),Pre-clinical,-,After 2030,-,-,"- 5/28/2025: Aktis Oncology initiates Phase 1b clinical trial of Nectin-4-targeting radiopharmaceutical AKY-1189 for multiple tumor types, but no recent news on OX-235 (225Ac-HER2 mAb) specifically (MEDIUM Confidence)
- No recent news found specifically for OX-235 (225Ac-HER2 mAb) in public sources (LOW Confidence)"
RYZ?801?(225Ac?GPC3),Bristol?Myers?Squibb?(RayzeBio),GPC3,"GPC3-positive liver cancer (inoperable/unresectable, second-line therapy or greater)",Ac-225,-,Therapeutic radioconjugate (peptide-based),Phase 1,-,2027-28,-,"Bristol Myers Squibb, PeptiDream","- 4/28/2025: Bayer introduces 225Ac-GPC3 in oral presentation at AACR “New Drugs on the Horizon” session (High Confidence)
- 12/18/2024: RYZ801 (225Ac-labelled GPC3 radioconjugate) enters first clinical trials for GPC3+ve liver cancer (High Confidence)
- 12/20/2024: RYZ801 Phase I clinical trials in liver cancer (inoperable/unresectable, second-line therapy or greater) in USA (High Confidence)"
TLX101?(131I?IPA),Telix?Pharmaceuticals,LAT1,"Recurrent high-grade glioma (including glioblastoma), LAT1-expressing tumors",I-131,-,Therapeutic radioligand (small molecule),Phase 2,2021-006426-43,2027-28,-,-,"- 4/16/2025: IPAX-Linz Phase 2 trial reports promising efficacy for TLX101 in recurrent high-grade glioma, with median overall survival of 12.4 months from TLX101 treatment (32.2 months from initial diagnosis); treatment well tolerated with no serious adverse events (High Confidence)
- 4/15/2025: Telix submits for ethics approval a registration-enabling study of TLX101 in recurrent glioblastoma (High Confidence)
- 9/4/2024: IPAX-1 Phase 1 study published in Neuro-Oncology Advances, confirming safety, tolerability, and early efficacy of TLX101 in glioblastoma (High Confidence)"
FPI?1434?(225Ac?IGF?1R),AstraZeneca?(Fusion),IGF?1R,"Solid tumors (including Ewing sarcoma, head and neck squamous cell carcinoma, endometrial cancer, cervical cancer, ovarian cancer, triple-negative breast cancer, adrenocortical carcinoma, uveal melanoma, HER2-negative breast cancer, epidermoid carcinoma)",Ac-225,-,Therapeutic radioligand (monoclonal antibody),Phase 1/2,-,2027-28,-,-,"- 1/21/2025: FPI-1434 is under clinical development by Fusion Pharmaceuticals and currently in Phase II for Ewing Sarcoma (High Confidence)
- 1/4/2024: Fusion Pharmaceuticals announces clinical program and manufacturing updates; plans to initiate Phase 3 trial in 2025 (High Confidence)
- 2023: Fusion anticipates reporting safety, pharmacokinetics, and imaging data from Phase 1 trial in Q2 2023; continues to anticipate initiation of Phase 1 combination trial with FPI-1434 and KEYTRUDA (pembrolizumab) six to nine months following determination of recommended Phase 2 dose of FPI-1434 monotherapy (High Confidence)"
Solucin?(177Lu?edotreotide),ITM (Isotope Technologien München),SSTR2,"Grade 1 and grade 2 gastroenteropancreatic neuroendocrine tumors (GEP-NETs), SSTR2-positive; also under investigation for well-differentiated high grade 2 and grade 3 GEP-NETs, and SSTR-positive pediatric tumors",Lu-177,-,Therapeutic radioligand (peptide),Phase 3,NCT03049189,2026,-,-,"- 3/6/2025: ITM presents positive topline Phase 3 COMPETE trial data for 177Lu-edotreotide in GEP-NETs, meeting primary endpoint with statistically significant improvement in progression-free survival (PFS); median overall survival trended favorably but not statistically significant; well-tolerated, no unforeseen adverse events; NDA submission to FDA planned for 2025 (High Confidence)
- 1/28/2025: 177Lu-edotreotide improves PFS in Grade 1/2 GEP-NETs in Phase 3 COMPETE trial (High Confidence)
- 1/29/2025: ITM announces positive topline results of Phase 3 COMPETE trial with ITM-11 (177Lu-edotreotide), a targeted radiopharmaceutical therapy for GEP-NETs (High Confidence)"
212Pb?PSMA?TCMC (“AlphaPSMA”),Orano?Med?/?RadioMedix,PSMA,mCRPC (metastatic castration-resistant prostate cancer),Pb-212,-,Therapeutic radioligand,Pre-clinical,-,After 2030,-,-,"- 3/13/2025: First-in-human Phase 0 study of AB001 (formerly 212Pb-NG001, similar to 212Pb-PSMA-TCMC) in mCRPC patients shows safe administration and feasible imaging at microdose; early clinical data published in JNM (High Confidence)
- 5/30/2025: Perspective Therapeutics highlights updated interim data from ongoing Phase 1/2a clinical trial of [212Pb]VMT-?-NET at ASCO 2025 (note: this is a different product, but relevant to 212Pb-PSMA landscape) (Medium Confidence)
- 5/1/2021: Preclinical evaluation of 212Pb-NG001 (PSMA-targeting ligand) demonstrates promising tumor targeting and efficacy in prostate cancer models (High Confidence)"
161Tb?DOTATOC,ITM / PSI,SSTR2,"GEP-NETs (grade 1 and 2, secreting and non-secreting, metastasized)",Tb-161,-,Therapeutic peptide,Phase 0,NCT05359146,2027-28,-,-,"- 2025-05-20: A randomized, cross-over, prospective, single-centre, open-label phase 0 study (NCT05359146) is comparing the dosimetry of 177Lu-DOTATOC and 161Tb-DOTA-LM3 in patients with GEP-NETs (High Confidence)
- 2025-02-27: No specific news on 161Tb-DOTATOC, but related research on 177Lu-DOTATATE continues (Medium Confidence)
- 2024-07-11: Clinical trials involving terbium-161, such as the VIOLET trial for prostate cancer, highlight its potential in targeted therapies (High Confidence)
- 2023 and earlier: First-in-human studies with 161Tb-DOTATOC were conducted without adverse events (High Confidence)"
FPI?2059?(225Ac?GRPR),AstraZeneca?(Fusion),GRPR,"Advanced, metastatic and/or recurrent solid tumours expressing neurotensin receptor 1 (NTSR1)",Ac-225,In-111,Theranostic peptide,Phase 1,NCT05605522,2027-28,-,-,"- 2/6/2025: AstraZeneca disclosed FPI-2059 setback as part of pipeline update, with four other phase 2 programs removed (High Confidence)
- 3/21/2023: First patient dosed in Phase 1 study of FPI-2059, a targeted alpha therapy for solid tumors expressing NTSR1 (High Confidence)"
131I?omburtamab,Y?mAbs?Therapeutics,B7?H3,Central nervous system (CNS) and leptomeningeal neoplasms in children and young adults; neuroblastoma with CNS/leptomeningeal metastasis,I-131,-,Therapeutic radiolabeled monoclonal antibody,Phase 2,NCT05064306,2027-28,"Breakthrough Therapy (FDA), Orphan-Drug (EMA)",-,"- 2025-03-19: Ongoing clinical trial (NCT05064306) provides access to 131I-omburtamab for children and young adults with CNS/leptomeningeal neoplasms (High Confidence)
- 2022-12-02: FDA declined approval of 131I-omburtamab for neuroblastoma, citing insufficient evidence of improved overall survival and recommending further trial design discussions (High Confidence)
- Ongoing: 131I-omburtamab continues in Phase II trials for CNS/leptomeningeal metastasis from neuroblastoma and in Phase I for desmoplastic small round cell tumor (High Confidence)"
TLX599?Tx?(177Lu?PSMA?I&S),Telix?Pharmaceuticals,PSMA,Metastatic castration-resistant prostate cancer (mCRPC) with PSMA-positive disease,Lu-177,-,Therapeutic radioligand,Phase 3,-,2027-28,-,-,"- 5/30/2025: ProstACT Global Phase 3 trial of TLX591 (lutetium Lu 177 rosopatamab tetraxetan) for PSMA-positive mCRPC highlighted at ASCO 2025 (High Confidence)
- 2/25/2025: Phase 3 ProstACT Global trial of TLX591 for mCRPC actively recruiting and dosing patients in Miami, FL (High Confidence)
- 12/31/2024: NOBLE Registry update for TLX599-CDx (99mTc-iPSMA) published in EJNMMI Reports, but not directly related to TLX599-Tx (177Lu-PSMA-I&S) (Medium Confidence)"
212Pb?TCMC?trastuzumab,Orano?Med,HER2,"HER2-positive intraperitoneal cancers (metastatic diseases, mainly confined to the peritoneal cavity, HER2 expression required)",Pb-212,-,Therapeutic monoclonal antibody (mAb),Phase 1,NCT01384253,After 2030,-,-,"- 4/25/2025: Orano Med publishes scientific article on development of ˛ą˛Pb-based Radio-DARPin therapy for mesothelin-positive solid tumors (note: not directly about 212Pb-TCMC-trastuzumab, but relevant to Orano Med’s pipeline and technology) (Medium Confidence)
- 2016-09-30: Study record for NCT01384253 (212Pb-TCMC-trastuzumab) updated on ClinicalTrials.gov (High Confidence)
- 2011-07-01: Phase I trial of 212Pb-TCMC-trastuzumab initiated for HER2-positive intraperitoneal cancers (High Confidence)"
